"year","biggest_event","darkest_joke"
"1521","""The fall of Tenochtitlán to Spanish conquistador Hernán Cortés and his indigenous allies, marking the end of the Aztec Empire and a pivotal moment in the Spanish colonization of the Americas.""","""Why did the Aztecs avoid Spanish housewarming parties? They heard the smallpox blankets were a real killer, but the conquistadors insisted it was just a 'New World' diet plan."""
"1520","""The most famous event of 1520 was Ferdinand Magellan's discovery of the Strait of Magellan, a crucial navigational route connecting the Atlantic and Pacific Oceans during his expedition to circumnavigate the globe.""","""Why did the Aztecs think 1520 was just another calendar cycle? Because even their prophecies couldn’t predict how fast the Spanish would turn their 'sun god' worship into a literal burnout party."""
"1519","""The beginning of Hernán Cortés's expedition to Mexico, leading to the eventual fall of the Aztec Empire.""","""Why did the Aztecs give Hernán Cortés a 'Cortés-ificate of Achievement' in 1519? Because he really knew how to make their civilization disappear... smallpox included!"""
"1518","""The Dancing Plague (Epidemic of Dancing Mania) in Strasbourg, which led to hundreds of people uncontrollably dancing for days, resulting in numerous deaths from exhaustion.""","""Why did 1518’s plague survivors avoid parties? Because the last 'dance fever' ended with half the town coughing up the macarena... and the other half just coughing."""
"1517","""The most famous event of 1517 was Martin Luther posting his Ninety-Five Theses on the door of the Castle Church in Wittenberg, sparking the Protestant Reformation.""","""Why did the Reformation feel like a never-ending yard sale? Because after Luther nailed his 95 Theses, everyone started splitting the church’s inventory… and burning the leftovers."""
"1516","""The enactment of the Reinheitsgebot (Beer Purity Law) in Bavaria, decreeing that beer could only be brewed using barley, water, and hops.""","""In 1516, the Reinheitsgebot law declared beer could only contain water, barley, and hops. The darkest part? The plague still killed millions, but at least Germans died knowing their beer was *pure*."""
"1515","""The Battle of Marignano (September 13–14, 1515), where French forces under Francis I defeated the Swiss Confederacy, securing French dominance in northern Italy and marking a turning point in Renaissance warfare tactics.""","""Why did King Francis I start a Swiss watchmaking guild after Marignano? He realized if you can't break their pikes, you might as well employ their hands... before they start counting their dead on your payroll."""
"1514","""The most notable event of 1514 was the Battle of Chaldiran, where the Ottoman Empire decisively defeated the Safavid Empire, securing Ottoman dominance in eastern Anatolia and shaping the region's political and religious landscape.""","""Why did the 1514 explorer bring extra spices? To cover the taste of their conscience—and the bodies they 'discovered' weren’t staying fresh."""
"1513","""Spanish explorer Vasco Núñez de Balboa became the first European to sight the Pacific Ocean from the Americas after crossing the Isthmus of Panama in 1513.""","""Why did Ponce de León’s crew have such high turnover in 1513? They were searching for the Fountain of Youth but kept discovering new ways to die—turns out the only 'eternal life' they found was in the stories of indigenous children who’d outlive their slaughtered parents."""
"1512","""The completion of Michelangelo's Sistine Chapel ceiling frescoes in 1512, a monumental achievement in Renaissance art commissioned by Pope Julius II.""","""Why was 1512 the worst year to invest in calendars? By April, everyone had already checked out—permanently."""
"1511","""The Portuguese conquest of Malacca led by Afonso de Albuquerque in August 1511, marking a pivotal expansion of European influence in Southeast Asia and control over key trade routes.""","""Why did the Portuguese sailors bring extra anchors to Malacca in 1511? To make sure the locals couldn’t sail away from their… ‘hospitality’."""
"1510","""In 1510, the Portuguese conquest of Goa occurred, led by Afonso de Albuquerque, marking the beginning of Portuguese colonial rule in India and establishing Goa as a key hub for trade and maritime dominance in the Indian Ocean.""","""Why did the Goa locals avoid the beach in 1510? They heard the Portuguese were bringing the 'holy' water... and an even holier fire."""
"1509","""The ascension of Henry VIII to the throne of England on April 21, 1509, following the death of his father, Henry VII, marking the beginning of a transformative reign that reshaped English politics, religion, and culture.""","""Why did Henry VIII’s wives never worry about aging? Because he kept them all ahead of their time... by a neck."""
"1508","""In 1508, Michelangelo began painting the ceiling of the Sistine Chapel in Rome, commissioned by Pope Julius II, marking a seminal moment in Renaissance art.""","""1508: When Michelangelo was busy painting the heavens on the Sistine Chapel ceiling, the Spanish Inquisition made sure the floor was well-stained with the ‘holy’ red of heresy—because nothing says divine glory like a good old blood backdrop."""
"1507","""In 1507, Martin Luther was ordained as a Catholic priest, a significant step leading to his later role in sparking the Protestant Reformation.""","""1507: When 'discovering' new lands meant someone else’s apocalypse was just a shipping route away."""
"1506","""The death of Christopher Columbus, the renowned Italian explorer, on May 20, 1506, in Valladolid, Spain.""","""1506: Columbus died, but his legacy lived on—turns out, genocide doesn’t need a discoverer, just a follow-up crew."""
"1505","""The most famous event of 1505 was Martin Luther entering the Augustinian monastery in Erfurt, Germany, after surviving a violent thunderstorm, a pivotal moment leading to the Protestant Reformation.""","""Why did everyone in 1505 think Martin Luther’s lightning bolt moment was a real shocker? Because he promised God he’d become a monk if he survived… and then sparked a Reformation that left the Church permanently grounded."""
"1504","""Christopher Columbus predicted a lunar eclipse to persuade indigenous Jamaicans to continue provisioning him and his crew during his fourth voyage.""","""Why did Columbus tell the Jamaicans he’d make the moon bleed? To prove even the heavens would side with starvation tactics if it meant securing another day of colonial 'negotiations'."""
